From	Entry	Gene Names (primary)	Gene Ontology IDs
P0C6U5	P0C6U5		GO:0003727; GO:0003968; GO:0004197; GO:0004843; GO:0006508; GO:0008242; GO:0008270; GO:0016021; GO:0019079; GO:0019082; GO:0033644; GO:0039502; GO:0039520; GO:0039548; GO:0039579; GO:0039595; GO:0039648; GO:0039657; GO:0044220
P0C7B7	P0C7B7		GO:0004888; GO:0005230; GO:0005886; GO:0016021; GO:0042802
P0CB50	P0CB50	PRDX1	GO:0005829; GO:0019430; GO:0045321; GO:0045454; GO:0140824
P0CC00	P0CC00	NDUFA5	GO:0005747; GO:0022904; GO:0032981
P0CC03	P0CC03	Sult6b1	GO:0005737; GO:0005829; GO:0008146; GO:0051923
P0CI21	P0CI21		GO:0005576; GO:0090729
P0CT34	P0CT34	Tf2-1	GO:0003677; GO:0003723; GO:0003887; GO:0003964; GO:0004190; GO:0004519; GO:0005634; GO:0006310; GO:0006508; GO:0015074; GO:0046872
P0CT36	P0CT36	Tf2-3	GO:0003677; GO:0003723; GO:0003887; GO:0003964; GO:0004190; GO:0004519; GO:0005634; GO:0006310; GO:0006508; GO:0015074; GO:0046872
P0CV25	P0CV25	RXLR78	GO:0005576; GO:0043657
P0CW97	P0CW97	PCR3	GO:0016021
P0DMM9	P0DMM9	SULT1A3	GO:0004062; GO:0005737; GO:0005829; GO:0006068; GO:0006805; GO:0007212; GO:0008146; GO:0008202; GO:0009812; GO:0042420; GO:0043199; GO:0047685; GO:0050427; GO:0051923; GO:0070371; GO:0097720; GO:0098989; GO:1901215; GO:1903351
P0DMQ6	P0DMQ6	SORD	GO:0003939; GO:0006000; GO:0006061; GO:0006062; GO:0006116; GO:0006735; GO:0008270; GO:0031514; GO:0031966; GO:0032991; GO:0046370; GO:0051287
P10076	P10076	Zfp26	GO:0000978; GO:0001228; GO:0005634; GO:0006357; GO:0046872
P10079	P10079	EGF1	GO:0005509; GO:0005615; GO:0009374; GO:0031410; GO:0032579
P10394	P10394	POL	GO:0003676; GO:0003887; GO:0003964; GO:0004190; GO:0004519; GO:0006508; GO:0015074; GO:0042575
P10547	P10547	lss	GO:0005576; GO:0006508; GO:0008237; GO:0046872; GO:0071555
P10994	P10994		GO:0005524; GO:0005737; GO:0005856
P11181	P11181	DBT	GO:0005737; GO:0005739; GO:0005829; GO:0005947; GO:0009083; GO:0015630; GO:0016407; GO:0031405; GO:0031625; GO:0042645; GO:0043754
P11369	P11369	Pol	GO:0003964; GO:0004519; GO:0006310; GO:0046872
P11493	P11493	PPP2CB	GO:0000278; GO:0000775; GO:0000922; GO:0004722; GO:0005634; GO:0005829; GO:0017018; GO:0046872
P11833	P11833		GO:0003924; GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0007017
P12107	P12107	COL11A1	GO:0001502; GO:0001503; GO:0002063; GO:0005201; GO:0005576; GO:0005592; GO:0005615; GO:0005788; GO:0006029; GO:0007601; GO:0007605; GO:0008201; GO:0030198; GO:0030199; GO:0030674; GO:0031012; GO:0035987; GO:0035989; GO:0042472; GO:0046872; GO:0048704; GO:0050840; GO:0050910; GO:0055010; GO:0062023; GO:1904399
P12259	P12259	F5	GO:0005507; GO:0005576; GO:0005615; GO:0005788; GO:0005794; GO:0005886; GO:0006508; GO:0007596; GO:0007598; GO:0008015; GO:0016020; GO:0030134; GO:0031091; GO:0031093; GO:0031638; GO:0032571; GO:0032991; GO:0033116; GO:0072377; GO:1903561; GO:1905370
P12262	P12262		GO:0003746; GO:0005853
P12265	P12265	Gusb	GO:0004566; GO:0005102; GO:0005615; GO:0005764; GO:0005783; GO:0005975; GO:0016787; GO:0019391; GO:0019904; GO:0030200; GO:0030207; GO:0030214; GO:0030246; GO:0043202; GO:0043231
P12345	P12345	GOT2	GO:0004069; GO:0005739; GO:0005759; GO:0005886; GO:0006103; GO:0006457; GO:0006531; GO:0006536; GO:0006869; GO:0009058; GO:0016212; GO:0030170
P13086	P13086	Suclg1	GO:0004775; GO:0004776; GO:0005739; GO:0006099; GO:0006104; GO:0006105; GO:0009361; GO:0019003; GO:0032991; GO:0044877; GO:0045244
P13221	P13221	Got1	GO:0004069; GO:0004609; GO:0005737; GO:0005764; GO:0005829; GO:0006103; GO:0006107; GO:0006114; GO:0006531; GO:0006532; GO:0006533; GO:0006536; GO:0007219; GO:0009743; GO:0019550; GO:0019551; GO:0030170; GO:0030511; GO:0031406; GO:0032869; GO:0032966; GO:0035902; GO:0043648; GO:0043679; GO:0046686; GO:0047801; GO:0051384; GO:0051481; GO:0051902; GO:0055089; GO:0060290; GO:0071260; GO:1990267
P14381	P14381		GO:0003824
P15305	P15305		GO:0005737; GO:0005874; GO:0030286; GO:0031514
P16423	P16423	pol	GO:0003964; GO:0004190; GO:0004519; GO:0006508; GO:0046872
P16425	P16425	R1A1-element\ORF2	GO:0003824; GO:0071897
P16895	P16895		GO:0004867
P17078	P17078	Rpl35	GO:0000463; GO:0003729; GO:0003735; GO:0006412; GO:0022625; GO:0022626; GO:0043021; GO:0071493
P17918	P17918	Pcna	GO:0000122; GO:0000307; GO:0000701; GO:0000785; GO:0001673; GO:0003682; GO:0003684; GO:0005634; GO:0005652; GO:0005654; GO:0005657; GO:0005813; GO:0006272; GO:0006287; GO:0006298; GO:0007507; GO:0008022; GO:0016604; GO:0019899; GO:0019985; GO:0030331; GO:0030337; GO:0030855; GO:0030971; GO:0031297; GO:0032077; GO:0032139; GO:0032355; GO:0032405; GO:0033993; GO:0034644; GO:0035035; GO:0042802; GO:0043596; GO:0043626; GO:0044849; GO:0044877; GO:0045739; GO:0045740; GO:0046686; GO:0070182; GO:0070301; GO:0070557; GO:0071466; GO:0071548; GO:0097421; GO:1900264; GO:1902065; GO:1902990
P18298	P18298	Mat2a	GO:0004478; GO:0005524; GO:0005829; GO:0006556; GO:0006730; GO:0007623; GO:0009410; GO:0009416; GO:0009725; GO:0016597; GO:0034214; GO:0042802; GO:0046872; GO:0048269; GO:0051291; GO:0051591; GO:1990830
P18503	P18503		GO:0005576; GO:0005581
P18653	P18653	Rps6ka1	GO:0000287; GO:0004674; GO:0004711; GO:0004712; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005819; GO:0005829; GO:0006468; GO:0016301; GO:0018105; GO:0035556; GO:0043027; GO:0043066; GO:0043154; GO:0045893; GO:0045944; GO:0072574; GO:0106310; GO:0140297; GO:2000491
P18699	P18699		GO:0003924; GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0007017
P18700	P18700		GO:0000226; GO:0000278; GO:0003924; GO:0005200; GO:0005525; GO:0005737; GO:0005874
P18753	P18753		GO:0003677; GO:0005634; GO:0046872
P19157	P19157	Gstp1	GO:0000302; GO:0002674; GO:0004364; GO:0004602; GO:0005504; GO:0005634; GO:0005737; GO:0005739; GO:0005829; GO:0005886; GO:0006469; GO:0006693; GO:0006749; GO:0006805; GO:0008432; GO:0009636; GO:0009890; GO:0014003; GO:0015643; GO:0019207; GO:0019901; GO:0031100; GO:0031667; GO:0032355; GO:0032691; GO:0032720; GO:0032869; GO:0032872; GO:0032873; GO:0032930; GO:0032991; GO:0033591; GO:0035726; GO:0035730; GO:0035731; GO:0043066; GO:0043124; GO:0043200; GO:0043407; GO:0043508; GO:0043651; GO:0045471; GO:0048147; GO:0051122; GO:0051771; GO:0070372; GO:0070373; GO:0070664; GO:0071222; GO:0071364; GO:0071385; GO:0071460; GO:0071638; GO:0071672; GO:0097057; GO:0097159; GO:1901687; GO:1904706; GO:2000429; GO:2000469; GO:2001237
P19560	P19560	gag-pol	GO:0003677; GO:0003723; GO:0003887; GO:0003964; GO:0004190; GO:0004523; GO:0004533; GO:0006310; GO:0006508; GO:0008270; GO:0015074; GO:0019013; GO:0039660; GO:0043657; GO:0044826; GO:0046718; GO:0075521; GO:0075713
P19602	P19602	LTA4H	GO:0004177; GO:0004301; GO:0004463; GO:0005737; GO:0006508; GO:0008237; GO:0008270; GO:0019370; GO:0043171; GO:0045148
P19945	P19945	Rplp0	GO:0000027; GO:0002181; GO:0003735; GO:0005634; GO:0005737; GO:0005783; GO:0007595; GO:0010269; GO:0014069; GO:0016020; GO:0022625; GO:0022626; GO:0030425; GO:0036464; GO:0042277; GO:0045202; GO:0070180; GO:0071320; GO:0071353; GO:0098794; GO:1904401; GO:1904628; GO:1990904
P20072	P20072	ANXA7	GO:0005509; GO:0005544; GO:0005634; GO:0042584
P20075	P20075		GO:0005576; GO:0005737
P20397	P20397	ncl	GO:0003677; GO:0003723; GO:0005730
P20693	P20693	Fcer2	GO:0002925; GO:0009897; GO:0016021; GO:0019863; GO:0030246; GO:0046872; GO:0051000; GO:0051712; GO:0051770
P21266	P21266	GSTM3	GO:0004364; GO:0005634; GO:0005737; GO:0005829; GO:0006749; GO:0008065; GO:0018916; GO:0019899; GO:0035686; GO:0042178; GO:0042802; GO:0042803; GO:0043295; GO:0043627; GO:0045171; GO:0070062; GO:0070458
P21328	P21328	pol	GO:0003964
P21329	P21329	jockey\pol	GO:0003964
P21447	P21447	Abcb1a	GO:0000086; GO:0001666; GO:0001890; GO:0005524; GO:0005654; GO:0005886; GO:0007420; GO:0007595; GO:0007623; GO:0008559; GO:0009410; GO:0009914; GO:0009986; GO:0015562; GO:0016020; GO:0016021; GO:0016324; GO:0016887; GO:0022857; GO:0031526; GO:0031625; GO:0033189; GO:0033280; GO:0033762; GO:0035633; GO:0036146; GO:0042626; GO:0042910; GO:0043215; GO:0043278; GO:0045332; GO:0046581; GO:0046686; GO:0046865; GO:0046943; GO:0047484; GO:0050892; GO:0060548; GO:0060856; GO:0070633; GO:0071217; GO:0071222; GO:0071236; GO:0071312; GO:0071356; GO:0071392; GO:0071475; GO:0071549; GO:0072089; GO:0090554; GO:0090555; GO:0097068; GO:0097327; GO:0099038; GO:0099040; GO:0140115; GO:0140328; GO:1901529; GO:1902396; GO:1903416; GO:1904446; GO:1904478; GO:1905039; GO:1905231; GO:1905232; GO:1905233; GO:1905235; GO:1905237; GO:1990961; GO:1990962; GO:1990963; GO:2001025; GO:2001225
P21613	P21613		GO:0003777; GO:0005524; GO:0005737; GO:0005874; GO:0007018; GO:0008017; GO:0030424
P21733	P21733		
P21956	P21956	Mfge8	GO:0001525; GO:0001786; GO:0002080; GO:0005178; GO:0005615; GO:0006910; GO:0006911; GO:0007155; GO:0007338; GO:0008429; GO:0009897; GO:0019897; GO:0043277; GO:0050766; GO:0062023
P22464	P22464	AnxB9	GO:0005509; GO:0005544; GO:0005938; GO:0012505; GO:0030011; GO:0030507; GO:0032509; GO:0048190
P22488	P22488		GO:0005737; GO:0005882
P22612	P22612	PRKACG	GO:0003091; GO:0004674; GO:0004679; GO:0004691; GO:0005524; GO:0005634; GO:0005654; GO:0005829; GO:0006468; GO:0007283; GO:0008584; GO:0010737; GO:0034237; GO:0034380; GO:0097546; GO:0106310
P22700	P22700	SERCA	GO:0005388; GO:0005524; GO:0005783; GO:0005789; GO:0006635; GO:0006874; GO:0007274; GO:0007629; GO:0008610; GO:0010884; GO:0012505; GO:0015662; GO:0016021; GO:0016529; GO:0016887; GO:0030322; GO:0030707; GO:0033017; GO:0034220; GO:0036335; GO:0045202; GO:0046872; GO:0048863; GO:0051282; GO:0060047; GO:0070588; GO:1901896; GO:1903515; GO:1990845
P22735	P22735	TGM1	GO:0001533; GO:0003810; GO:0005829; GO:0005886; GO:0010838; GO:0016020; GO:0018149; GO:0030216; GO:0031224; GO:0031424; GO:0036211; GO:0042802; GO:0043163; GO:0045787; GO:0046872; GO:0070062
P22807	P22807	slou	GO:0000122; GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0007517; GO:0007521; GO:0030154
P23098	P23098		GO:0003341; GO:0005524; GO:0005858; GO:0005874; GO:0008569; GO:0030030; GO:0045505; GO:0051959; GO:0097729
P23403	P23403	rps20	GO:0003723; GO:0003735; GO:0005737; GO:0006412; GO:0015935
P23438	P23438	SSR2	GO:0001701; GO:0005789; GO:0016021
P23935	P23935	NDUFA5	GO:0005747; GO:0022904; GO:0032981
P24032	P24032		GO:0005509; GO:0005737; GO:0016460; GO:0032036
P24043	P24043	LAMA2	GO:0005102; GO:0005198; GO:0005201; GO:0005576; GO:0005604; GO:0007155; GO:0007411; GO:0007517; GO:0009887; GO:0009888; GO:0030334; GO:0031594; GO:0032224; GO:0035633; GO:0042383; GO:0043083; GO:0045785; GO:0045995; GO:0051149; GO:0062023; GO:0098637; GO:0110011; GO:2001046
P24524	P24524	Glra3	GO:0004888; GO:0005231; GO:0005887; GO:0007165; GO:0007218; GO:0007268; GO:0016594; GO:0016934; GO:0016935; GO:0022852; GO:0030425; GO:0030594; GO:0034220; GO:0042391; GO:0043005; GO:0043200; GO:0043204; GO:0045202; GO:0046872; GO:0050877; GO:0051260; GO:0060012; GO:0070161; GO:0071230; GO:0071294; GO:0071361; GO:0098690; GO:0098978; GO:0098982; GO:0099060; GO:1902476; GO:1904315; GO:2000300
P25169	P25169		GO:0005890; GO:0006813; GO:0006814
P25228	P25228	Rab3	GO:0003924; GO:0005525; GO:0005768; GO:0005886; GO:0006904; GO:0007269; GO:0008021; GO:0009306; GO:0016192; GO:0017157; GO:0031489; GO:0031630; GO:0031982; GO:0032482; GO:0043231; GO:0045202; GO:0046718; GO:0048172; GO:0048786; GO:0048789; GO:0048790; GO:0070161; GO:0072659
P25318	P25318	Col8a2	GO:0001525; GO:0005201; GO:0005581; GO:0005604; GO:0005615; GO:0007155; GO:0030198; GO:0031012; GO:0048593; GO:0050673
P25398	P25398	RPS12	GO:0002181; GO:0003723; GO:0003735; GO:0005654; GO:0005737; GO:0005794; GO:0005829; GO:0006412; GO:0016020; GO:0022626; GO:0022627; GO:0043231; GO:0090263
P25444	P25444	Rps2	GO:0002181; GO:0003729; GO:0003735; GO:0005654; GO:0005730; GO:0005737; GO:0005829; GO:0006412; GO:0017134; GO:0019899; GO:0022626; GO:0022627; GO:0044877; GO:0045202; GO:0051443; GO:0071353; GO:1990904
P25784	P25784	LCP3	GO:0006508; GO:0008234
P26640	P26640	VARS1	GO:0002161; GO:0004832; GO:0005524; GO:0005829; GO:0006418; GO:0006438
P27118	P27118	ODC1	GO:0004586; GO:0005737; GO:0033387
P27463	P27463	ALDH1A1	GO:0001523; GO:0001758; GO:0004029; GO:0005829; GO:0009449; GO:0018479; GO:0019145; GO:0030392; GO:0030424; GO:0042572; GO:0043878; GO:0045202; GO:0106373; GO:0110095
P27659	P27659	Rpl3	GO:0002181; GO:0003723; GO:0003735; GO:0005730; GO:0005737; GO:0005829; GO:0005840; GO:0006412; GO:0008097; GO:0022625; GO:0022626; GO:0032991; GO:0045202; GO:0071353
P28034	P28034		GO:0009809; GO:0032259; GO:0042409; GO:0046872
P28066	P28066	PSMA5	GO:0000502; GO:0005576; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005839; GO:0010498; GO:0019773; GO:0034774; GO:0043161; GO:0070062; GO:1904813
P28668	P28668	GluProRS	GO:0003723; GO:0004818; GO:0004827; GO:0005524; GO:0005737; GO:0006424; GO:0006433; GO:0017101; GO:0046872
P28676	P28676	GCA	GO:0005509; GO:0005576; GO:0005737; GO:0005829; GO:0005886; GO:0035578; GO:0042803; GO:0046982; GO:0061025; GO:0070062
P29865	P29865	mt:CoII	GO:0004129; GO:0005507; GO:0005743; GO:0016021; GO:0070469
P31161	P31161	sod-2	GO:0004784; GO:0005739; GO:0005746; GO:0005759; GO:0019430; GO:0030145; GO:0042803
P31649	P31649	Slc6a13	GO:0005283; GO:0005308; GO:0005332; GO:0005368; GO:0005369; GO:0005886; GO:0005887; GO:0006836; GO:0008028; GO:0010940; GO:0015171; GO:0015185; GO:0015718; GO:0015734; GO:0015881; GO:0016323; GO:0035725; GO:0042165; GO:0043005; GO:0051939; GO:0071705; GO:0089718
P32018	P32018	COL14A1	GO:0005576; GO:0005581; GO:0007155
P32418	P32418	SLC8A1	GO:0002026; GO:0002027; GO:0002028; GO:0005432; GO:0005509; GO:0005516; GO:0005654; GO:0005739; GO:0005874; GO:0005886; GO:0005887; GO:0006811; GO:0006874; GO:0006883; GO:0006936; GO:0007584; GO:0008092; GO:0009410; GO:0009749; GO:0010468; GO:0010649; GO:0010763; GO:0010881; GO:0010882; GO:0014069; GO:0014704; GO:0014829; GO:0016020; GO:0021537; GO:0030001; GO:0030018; GO:0030315; GO:0030424; GO:0030425; GO:0030501; GO:0030506; GO:0033198; GO:0034614; GO:0035725; GO:0035902; GO:0035994; GO:0036376; GO:0042383; GO:0042542; GO:0043025; GO:0043197; GO:0043198; GO:0043679; GO:0044325; GO:0044557; GO:0045202; GO:0051481; GO:0055013; GO:0055074; GO:0055119; GO:0060048; GO:0060402; GO:0070509; GO:0070588; GO:0071313; GO:0071320; GO:0071456; GO:0071901; GO:0071944; GO:0086012; GO:0086064; GO:0097553; GO:0098703; GO:0098719; GO:0098735; GO:0098794; GO:0099055; GO:0099580; GO:1901660; GO:1903779; GO:1905060
P33502	P33502	ND1	GO:0005743; GO:0008137; GO:0016021; GO:0070469
P34456	P34456		GO:0004748; GO:0005829; GO:0009263
P34848	P34848	mt:ND2	GO:0005747; GO:0006120; GO:0008137
P34850	P34850	mt:ND3	GO:0008137; GO:0016021; GO:0031966; GO:0070469
P35134	P35134	UBC11	GO:0000209; GO:0004842; GO:0005524; GO:0005634; GO:0006511; GO:0061631
P35250	P35250	RFC2	GO:0003677; GO:0005524; GO:0005634; GO:0005654; GO:0005663; GO:0006261; GO:0006281; GO:0016887; GO:0019899; GO:0031390; GO:0032508; GO:1900264
P35419	P35419	Tpo	GO:0004447; GO:0004601; GO:0005509; GO:0005615; GO:0005739; GO:0005886; GO:0006590; GO:0006979; GO:0009986; GO:0016021; GO:0020037; GO:0035162; GO:0042446; GO:0042744
P35563	P35563	Htr3a	GO:0004888; GO:0005231; GO:0005737; GO:0005886; GO:0005887; GO:0007165; GO:0007210; GO:0007268; GO:0022850; GO:0030424; GO:0030594; GO:0032154; GO:0032414; GO:0034220; GO:0042220; GO:0042391; GO:0042802; GO:0043005; GO:0043025; GO:0045202; GO:0045471; GO:0050877; GO:0051378; GO:0070161; GO:0071363; GO:0098662; GO:0098978; GO:0099055; GO:0099056; GO:1904315; GO:1904602
P35604	P35604	COPZ1	GO:0000139; GO:0006886; GO:0006890; GO:0006891; GO:0030126; GO:1901998
P35704	P35704	Prdx2	GO:0002357; GO:0002536; GO:0005829; GO:0006979; GO:0008379; GO:0010310; GO:0016209; GO:0019430; GO:0030194; GO:0031665; GO:0032088; GO:0032496; GO:0034599; GO:0042098; GO:0042743; GO:0042744; GO:0042981; GO:0043029; GO:0043410; GO:0043524; GO:0045321; GO:0045454; GO:0045581; GO:0048538; GO:0048872; GO:0097191; GO:0140824; GO:2001237; GO:2001240
P35761	P35761	Ttk	GO:0000776; GO:0004674; GO:0004712; GO:0004713; GO:0005524; GO:0005634; GO:0005737; GO:0007059; GO:0007094; GO:0016321; GO:0018105; GO:0018107; GO:0018108; GO:0033316; GO:0034501; GO:0034502; GO:0042802; GO:0043515; GO:0046777; GO:0051304; GO:0106310; GO:1903096
P36241	P36241	RpL19	GO:0002181; GO:0003723; GO:0003735; GO:0022625; GO:0022626
P36776	P36776	LONP1	GO:0000002; GO:0001018; GO:0001666; GO:0003697; GO:0003727; GO:0004176; GO:0004252; GO:0005524; GO:0005654; GO:0005739; GO:0005759; GO:0005829; GO:0006515; GO:0007005; GO:0007568; GO:0009725; GO:0010044; GO:0016020; GO:0016887; GO:0032042; GO:0034599; GO:0042645; GO:0042731; GO:0042802; GO:0043531; GO:0043560; GO:0043565; GO:0046627; GO:0050730; GO:0051131; GO:0051603; GO:0051880; GO:0070182; GO:0070407
P37879	P37879	KARS1	GO:0003676; GO:0003877; GO:0004824; GO:0005524; GO:0005576; GO:0005634; GO:0005829; GO:0005886; GO:0006430; GO:0015966; GO:0017101
P37892	P37892	cpe	GO:0004181; GO:0005576; GO:0006508; GO:0008270; GO:0030658
P37980	P37980	PPA1	GO:0000287; GO:0004427; GO:0005829; GO:0006796
P39057	P39057		GO:0003341; GO:0005524; GO:0005858; GO:0005874; GO:0008569; GO:0030030; GO:0045505; GO:0051959; GO:0097729
P40525	P40525	RPL34B	GO:0002181; GO:0003735; GO:0005829; GO:0022625; GO:0042254
P41105	P41105	Rpl28	GO:0002181; GO:0003735; GO:0005737; GO:0005829; GO:0022625; GO:0022626; GO:0030425; GO:0036464; GO:0044297
P41123	P41123	Rpl13	GO:0001824; GO:0003723; GO:0003735; GO:0006412; GO:0022625; GO:0022626; GO:0060348; GO:0097421
P41383	P41383	TUB2; TUB4	GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0007017
P41386	P41386		GO:0003924; GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0007017
P41809	P41809	HKR1	GO:0000282; GO:0001402; GO:0005034; GO:0005576; GO:0005886; GO:0005887; GO:0006075; GO:0006972; GO:0007232; GO:0009986; GO:0030010; GO:0030427; GO:0031505
P41824	P41824		GO:0003723; GO:0005634
P42577	P42577		GO:0004322; GO:0005737; GO:0006826; GO:0006879; GO:0008199
P42578	P42578		GO:0004322; GO:0005576; GO:0006826; GO:0006879; GO:0008199
P42620	P42620	yqjG	GO:0004364; GO:0005737; GO:0016672
P42765	P42765	ACAA2	GO:0003723; GO:0003985; GO:0003986; GO:0003988; GO:0005739; GO:0005759; GO:0006635; GO:0006695; GO:0016290; GO:0047617; GO:0071456; GO:0102991; GO:1901029; GO:1902109
P42788	P42788		GO:0004181; GO:0005576; GO:0006508; GO:0008270
P43307	P43307	SSR1	GO:0005783; GO:0005789; GO:0006613; GO:0008284; GO:0016021
P43573	P43573	BUD27	GO:0001731; GO:0005737; GO:1990113; GO:1990114; GO:1990115
P43699	P43699	NKX2-1	GO:0000122; GO:0000785; GO:0000976; GO:0000977; GO:0000978; GO:0000981; GO:0001161; GO:0003677; GO:0003700; GO:0005634; GO:0005654; GO:0005667; GO:0006355; GO:0006357; GO:0006644; GO:0007411; GO:0007420; GO:0007492; GO:0007626; GO:0009725; GO:0010628; GO:0010719; GO:0019899; GO:0021759; GO:0021766; GO:0021795; GO:0021798; GO:0021854; GO:0021877; GO:0021892; GO:0021983; GO:0030154; GO:0030324; GO:0030336; GO:0030512; GO:0030878; GO:0030900; GO:0031128; GO:0033327; GO:0042753; GO:0045892; GO:0045893; GO:0045944; GO:0048511; GO:0048646; GO:0048709; GO:0060430; GO:0060441; GO:0060486; GO:0060510; GO:0061629; GO:1904936
P43974	P43974		GO:0016757; GO:0046872
P44836	P44836		GO:0015344; GO:0016021; GO:0031230; GO:0044718; GO:0071702
P45842	P45842	RpL34	GO:0003735; GO:0005840; GO:0006412; GO:1990904
P46782	P46782	RPS5	GO:0000028; GO:0002181; GO:0003723; GO:0003729; GO:0003735; GO:0005654; GO:0005737; GO:0005829; GO:0005840; GO:0005925; GO:0006412; GO:0006413; GO:0006450; GO:0016020; GO:0019843; GO:0022626; GO:0022627; GO:0070062; GO:1990904
P46952	P46952	HAAO	GO:0000334; GO:0005737; GO:0005829; GO:0006569; GO:0008198; GO:0009055; GO:0009435; GO:0010043; GO:0019805; GO:0034354; GO:0043420; GO:0046686; GO:0046874; GO:0070050
P47830	P47830	rpl27a	GO:0003735; GO:0006412; GO:0015934
P48597	P48597	eif4e	GO:0000932; GO:0003723; GO:0003743; GO:0005845; GO:0006417; GO:0016281; GO:0032991
P48766	P48766	SLC8A1	GO:0002026; GO:0005432; GO:0005509; GO:0005516; GO:0005654; GO:0005887; GO:0006816; GO:0006883; GO:0007154; GO:0014704; GO:0030018; GO:0030315; GO:0030501; GO:0030506; GO:0031226; GO:0035725; GO:0035994; GO:0042383; GO:0045202; GO:0055074; GO:0055119; GO:0070509; GO:0070588; GO:0098719; GO:0098735
P49165	P49165	RPL4	GO:0003735; GO:0005840; GO:0006412; GO:1990904
P49419	P49419	ALDH7A1	GO:0004029; GO:0004043; GO:0005634; GO:0005739; GO:0005759; GO:0005829; GO:0006081; GO:0007605; GO:0008802; GO:0019285; GO:0042426; GO:0042802; GO:0043878; GO:0070062
P49721	P49721	PSMB2	GO:0000502; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005839; GO:0010243; GO:0010498; GO:0014070; GO:0016020; GO:0019774; GO:0043161; GO:0070062
P49959	P49959	MRE11	GO:0000014; GO:0000019; GO:0000723; GO:0000724; GO:0000729; GO:0000781; GO:0003690; GO:0004518; GO:0004520; GO:0005634; GO:0005654; GO:0005657; GO:0005737; GO:0005829; GO:0006281; GO:0006302; GO:0006303; GO:0006310; GO:0006974; GO:0007004; GO:0007062; GO:0007095; GO:0007129; GO:0007131; GO:0008022; GO:0008283; GO:0008296; GO:0008408; GO:0008409; GO:0016605; GO:0030145; GO:0030870; GO:0031573; GO:0031860; GO:0031954; GO:0032206; GO:0032508; GO:0033674; GO:0035825; GO:0035861; GO:0042138; GO:0042802; GO:0043066; GO:0044818; GO:0045296; GO:0070533; GO:0097552; GO:0098687; GO:0110025
P50395	P50395	GDI2	GO:0003723; GO:0005093; GO:0005096; GO:0005576; GO:0005737; GO:0005794; GO:0005829; GO:0005925; GO:0007165; GO:0007264; GO:0015031; GO:0016020; GO:0016192; GO:0031267; GO:0031982; GO:0034774; GO:0035578; GO:0045202; GO:0070062; GO:1902018; GO:1903565
P50429	P50429	Arsb	GO:0003943; GO:0004065; GO:0005739; GO:0005764; GO:0005791; GO:0005794; GO:0006914; GO:0007417; GO:0007584; GO:0008484; GO:0009268; GO:0009986; GO:0010632; GO:0010976; GO:0043627; GO:0046872; GO:0051597; GO:0061580; GO:0097065
P50579	P50579	METAP2	GO:0003723; GO:0004177; GO:0005737; GO:0005829; GO:0005886; GO:0008235; GO:0016485; GO:0018206; GO:0031365; GO:0035551; GO:0046872; GO:0070006
P50607	P50607	TUB	GO:0001664; GO:0005576; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0005929; GO:0006910; GO:0007605; GO:0008277; GO:0042073; GO:0044877; GO:0045494; GO:0050766; GO:0050896; GO:0060041; GO:0061512; GO:0097500; GO:0120160; GO:1903546
P51121	P51121	glul	GO:0004356; GO:0005524; GO:0005739; GO:0005783; GO:0005829; GO:0006542; GO:0046872
P51970	P51970	NDUFA8	GO:0005739; GO:0005743; GO:0005747; GO:0005758; GO:0006120; GO:0008137; GO:0009060; GO:0032981; GO:0042776; GO:0044877
P52503	P52503	Ndufs6	GO:0001822; GO:0005739; GO:0005743; GO:0005747; GO:0006120; GO:0006631; GO:0006936; GO:0009060; GO:0010259; GO:0022904; GO:0032981; GO:0035264; GO:0042776; GO:0061458; GO:0070584; GO:0072359
P52564	P52564	MAP2K6	GO:0000165; GO:0001649; GO:0002931; GO:0004674; GO:0004708; GO:0004713; GO:0005524; GO:0005654; GO:0005829; GO:0005856; GO:0006915; GO:0006975; GO:0007165; GO:0009410; GO:0019211; GO:0019901; GO:0022602; GO:0032308; GO:0038066; GO:0042802; GO:0043065; GO:0043406; GO:0043539; GO:0051403; GO:0051726; GO:0051770; GO:0060048; GO:0060348; GO:0070423; GO:0072709; GO:0090398; GO:0106310; GO:0120163; GO:1901796
P52758	P52758	RIDA	GO:0001822; GO:0003723; GO:0003729; GO:0005634; GO:0005737; GO:0005739; GO:0005759; GO:0005777; GO:0005829; GO:0006402; GO:0006629; GO:0007420; GO:0016892; GO:0017148; GO:0019239; GO:0019518; GO:0030324; GO:0033993; GO:0036041; GO:0042802; GO:0046914; GO:0050680; GO:0061157; GO:0070062; GO:0070314; GO:0120242; GO:0120243; GO:1901565; GO:1902074
P52899	P52899		GO:0004739; GO:0005739; GO:0005759; GO:0006086; GO:0006096
P53442	P53442		GO:0004332; GO:0006096
